CONTESTANT,Age,FIR,NumRoses3,FirstDate,Region,ElimWeek
01_AMANDA_M,23.0,0.0,0.0,3.0,M,11.0
01_TRISTA_R,29.0,0.0,0.0,3.0,S,6.0
01_SHANNON_O,24.0,0.0,0.0,3.0,S,5.0
01_KIM_X,24.0,0.0,0.0,4.0,W,4.0
01_CATHY_G,22.0,0.0,0.0,0.0,M,3.0
01_CHRISTINA_X,28.0,0.0,0.0,0.0,W,3.0
01_LANEASE_A,23.0,0.0,0.0,0.0,W,3.0
01_RHONDA_X,28.0,0.0,0.0,0.0,S,3.0
01_ALEXA_X,27.0,0.0,0.0,0.0,W,2.0
01_AMY_X,28.0,0.0,0.0,0.0,N,2.0
01_ANGELA_X,25.0,0.0,0.0,0.0,W,2.0
01_ANGELIQUE_X,27.0,0.0,0.0,0.0,W,2.0
01_KATIE_X,23.0,0.0,0.0,0.0,N,2.0
01_MELISSA_X,25.0,0.0,0.0,0.0,W,2.0
01_TINA_X,27.0,0.0,0.0,0.0,S,2.0
01_AMBER_X,29.0,0.0,0.0,0.0,W,1.0
01_DANIELA_X,30.0,0.0,0.0,0.0,W,1.0
01_DENISE_X,30.0,0.0,0.0,0.0,O,1.0
01_JACKIE_X,22.0,0.0,0.0,0.0,N,1.0
01_JILL_X,31.0,0.0,0.0,0.0,M,1.0
01_KRISTINA_X,27.0,0.0,0.0,0.0,W,1.0
01_LISA_X,29.0,0.0,0.0,0.0,S,1.0
01_PAULA_X,24.0,0.0,0.0,0.0,N,1.0
01_RACHEL_X,29.0,0.0,0.0,0.0,N,1.0
01_WENDI_X,26.0,0.0,0.0,0.0,S,1.0
02_HELENE_E,27.0,0.0,0.0,3.0,N,11.0
02_BROOKE_S,22.0,0.0,0.0,3.0,S,7.0
02_GWEN_G,31.0,0.0,0.0,4.0,N,6.0
02_ANGELA_X,27.0,0.0,0.0,5.0,M,5.0
02_HAYLEY_X,28.0,0.0,0.0,0.0,W,4.0
02_HEATHER_C,30.0,0.0,0.0,4.0,S,4.0
02_CHRISTI_X,23.0,0.0,0.0,0.0,W,3.0
02_HEATHER_X,24.0,0.0,0.0,0.0,W,3.0
02_KYLA_X,22.0,0.0,0.0,0.0,W,3.0
02_SHANNON_X,26.0,0.0,0.0,0.0,N,3.0
02_DANA_X,24.0,0.0,0.0,0.0,W,2.0
02_ERIN_X,25.0,0.0,0.0,0.0,N,2.0
02_SUZANNE_X,33.0,0.0,0.0,0.0,W,2.0
02_FRANCES_X,30.0,0.0,0.0,0.0,W,2.0
02_ANINDITA_X,27.0,0.0,0.0,0.0,N,2.0
02_AMBER_X,26.0,0.0,0.0,0.0,S,1.0
02_CAMILLE_X,29.0,0.0,0.0,0.0,W,1.0
02_CARI_X,29.0,0.0,0.0,0.0,M,1.0
02_CHRISTY_X,24.0,0.0,0.0,0.0,W,1.0
02_FATIMA_X,22.0,0.0,0.0,0.0,W,1.0
02_LIANGY_X,30.0,0.0,0.0,0.0,S,1.0
02_LORI_X,26.0,0.0,0.0,0.0,S,1.0
02_MERRILEE_X,28.0,0.0,0.0,0.0,N,1.0
05_JESSICA_B,22.0,0.0,0.0,4.0,W,11.0
05_TARA_H,23.0,0.0,0.0,3.0,S,7.0
05_MANDY_J,26.0,0.0,0.0,4.0,S,6.0
05_TRISH_S,28.0,1.0,1.0,2.0,S,5.0
05_SUZIE_W,23.0,0.0,0.0,3.0,W,4.0
05_KAREN_L,28.0,0.0,0.0,0.0,W,4.0
05_JESSICA_H,25.0,0.0,0.0,0.0,S,3.0
05_JULIE_D,24.0,0.0,0.0,0.0,W,3.0
05_JENNY_S,26.0,0.0,0.0,0.0,S,3.0
05_KATIE_G,22.0,0.0,0.0,0.0,W,3.0
